name,ccb,logmh,ccr,dedeg,fhi,morphel,modelu_rcorr,r50,fg,fc,fa,r90,modelu_j,den1mpc,grp,absrmag,grpcz,fmorphel,cz,radeg,logmstar
ECO03450,1.0,12.59,1.06,32.421,1,E,2.31,6.6,0,0,0,28.1,4.36,1.49,529,-21.1,6621.5,2,6327.2,183.558,10.63
ECO03451,1.0,11.45,1.21,42.266,1,E,2.25,8.0,0,1,0,23.3,3.74,0.58,2785,-20.38,4205.2,1,4205.2,138.936,10.21
ECO03452,1.0,12.59,1.01,32.415,1,E,2.31,10.7,0,1,0,46.3,4.15,1.31,529,-21.73,6621.5,2,6597.2,183.596,10.91
ECO03453,1.0,11.77,1.09,0.83,1,L,1.45,8.1,1,1,0,27.4,3.3,2.88,2786,-20.63,6044.2,2,5992.5,183.622,10.35
ECO03454,1.0,12.47,1.04,28.424,1,E,2.32,11.9,0,0,0,60.3,4.15,2.15,2779,-21.31,3858.5,1,3938.5,183.624,10.75
ECO03455,1.0,11.81,1.07,43.536,1,E,1.19,6.2,0,1,0,25.5,2.92,1.33,2787,-20.86,7277.3,1,7329.4,183.66,10.25
ECO03456,1.0,11.77,1.09,0.743,1,L,1.5,13.5,1,0,0,34.8,2.44,2.78,2786,-20.02,6044.2,2,6095.8,183.689,9.93
ECO03457,1.0,11.45,1.07,12.547,2,L,1.29,7.9,1,1,1,23.0,3.43,0.47,2788,-20.37,5747.3,1,5747.3,183.759,10.01
ECO03458,1.0,11.52,1.06,13.184,2,L,0.87,9.5,1,1,1,21.4,2.54,0.46,2789,-20.34,5792.2,2,5784.6,183.805,9.63
ECO03459,1.0,13.52,1.08,23.958,1,E,2.42,5.9,0,0,0,26.4,4.41,4.36,693,-21.08,6699.1,2,6646.2,183.816,10.63
ECO03460,1.0,11.71,1.03,19.292,1,L,0.76,10.6,0,1,0,28.2,2.47,0.24,2790,-21.0,6171.9,2,6171.9,183.855,9.89
ECO03461,1.0,13.52,1.08,23.948,1,E,2.29,6.3,0,0,0,20.3,4.04,3.9,693,-20.34,6699.1,1,6823.1,183.855,10.31
ECO03462,1.0,11.91,1.05,11.886,2,L,2.22,16.0,0,1,1,49.6,3.66,0.98,193,-21.31,4852.4,1,4817.0,138.821,10.61
ECO03463,1.0,12.44,1.02,21.833,1,L,2.15,26.0,0,1,0,87.1,3.32,1.15,2791,-21.47,6647.2,1,6703.9,183.893,10.69
ECO03464,1.0,12.41,1.01,28.177,1,E,2.22,11.6,0,1,0,43.3,3.72,0.88,2792,-21.78,6609.5,1,6557.5,183.9,10.87
ECO03465,1.0,12.44,1.08,21.909,1,L,1.46,9.7,0,0,0,21.9,3.28,1.34,2791,-21.0,6647.2,2,6663.4,183.904,10.35
ECO03466,1.0,13.52,1.02,23.982,1,E,2.17,62.7,0,1,0,194.2,3.36,3.8,693,-23.1,6699.1,2,6679.1,183.907,11.43
ECO03467,1.0,11.74,1.04,0.4,1,L,1.58,13.3,1,1,0,34.1,3.33,2.11,2793,-21.08,6176.1,2,6176.1,183.969,10.37
ECO03468,1.0,11.75,1.06,23.596,1,E,2.31,8.2,0,1,0,24.9,4.0,0.87,2794,-21.09,6395.8,1,6395.8,183.98,10.59
ECO03469,1.0,11.69,1.11,3.306,1,E,2.17,7.6,1,1,0,24.9,3.94,0.53,2795,-20.97,5666.9,2,5666.9,183.99,10.51
ECO03470,1.0,11.48,1.17,10.804,2,E,2.31,5.5,1,1,1,16.0,4.03,0.31,2796,-20.45,6205.4,1,6205.4,184.089,10.35
ECO03471,1.0,12.25,1.01,47.026,1,L,1.74,12.2,0,1,0,31.0,3.74,2.32,2797,-21.96,7329.7,1,7329.7,184.11,10.95
ECO03472,1.0,13.18,1.04,33.522,1,E,2.36,11.7,0,1,0,46.5,4.0,1.25,2798,-22.49,6704.9,1,6548.5,184.14,10.91
ECO03473,1.0,10.92,1.16,42.992,1,L,0.88,13.9,0,1,0,40.6,1.97,0.46,2799,-18.3,2560.9,1,2560.9,139.105,8.61
ECO03474,1.0,13.18,1.01,33.561,1,L,2.28,13.2,0,0,0,39.8,3.77,1.14,2798,-21.96,6704.9,1,6781.8,184.162,10.93
ECO03475,1.0,11.44,1.12,14.278,1,L,0.85,6.0,1,1,1,11.2,2.32,1.09,1337,-20.16,6950.4,1,6972.0,184.177,9.45
ECO03476,1.0,12.17,1.0,47.439,1,L,1.45,14.0,0,1,0,31.6,3.24,2.25,2800,-21.68,7292.4,2,7323.3,184.203,10.75
ECO03477,1.0,12.0,1.02,42.948,1,E,2.23,7.3,0,1,0,43.0,4.13,0.94,2801,-21.54,7079.0,1,7079.0,184.272,10.77
ECO03478,1.0,11.15,1.12,12.795,2,L,0.95,6.1,1,1,1,22.1,2.35,0.16,2802,-19.35,4918.2,1,4918.2,184.319,9.33
ECO03479,1.0,11.6,1.06,16.372,1,L,1.02,7.0,1,1,0,23.4,2.73,1.02,2803,-20.75,6852.0,2,6852.0,184.322,10.07
